rank,id,name,blurb,types
2017,213424,Stephen K Bannon,"Executive chairman, Breitbart News LLC","Person,Business Person,Media Personality"
2016,2499,Tim Cook,Apple CEO,"Person,Business Person"
2016,96583,Ted Cruz,Republican U.S. Senator from Texas,"Person,Political Candidate,Elected Representative,Public Official"
2016,241987,Leo DiCaprio,Actor,"Person,Media Personality"
2016,257556,Simone Arianne Biles,US Olympic gymnast,"Person,Media Personality"
2016,229969,Colin Kaepernick,NFL quarterback,"Person,Media Personality"
2016,157878,Gretchen Carlson,Formerly of Fox News,"Person,Media Personality"
2015,4698,Howard D Schultz,Founded Starbuck's,"Person,Business Person"
2015,34003,Jeb Bush,Former Governor of Florida,"Person,Political Candidate,Elected Representative,Business Person"
2015,207662,Narendra Modi,Prime Minister of India,Person
2015,155194,Stephen Colbert,"Political satirist, TV Host","Person,Media Personality"
2015,13568,Bernie Sanders,"US Senator and former representative from Vermont, 2020 Democratic presidential primary candidate","Person,Elected Representative,Political Candidate"
2015,166937,Angela Merkel,Chancellor of Germany,"Person,Political Candidate"
2015,257555,Adele Laurie Blue Adkins,Singer known as Adele,"Person,Media Personality"
2014,39339,Janet L Yellen,Federal Reserve Chair,"Person,Academic,Public Official"
2014,110381,Seth Meyers,Televesion talk show host,"Person,Media Personality"
2014,207655,Jon Hamm,"Actor, Star of ""Mad Men""","Person,Media Personality"
2014,159484,Beyonce,Singer,"Person,Media Personality"
2014,207656,Laverne Cox,"Actress, stars in ""Orange is the New Black""","Person,Media Personality"
2014,207657,Robert Bowdrie Bergdahl,Former prisoner of war in Afghanistan,Person
2014,207658,Chad Stover,High school football player who died of game related brain injuries,Person
2014,59561,Mary T Barra,"CEO, General Motors","Person,Business Person"
2014,207659,Matthew McConaughey,Actor,"Person,Media Personality"
2014,109182,Anne Hathaway,Actress,Person
2014,207660,Jessica Chastain,Actress,"Person,Media Personality"
2014,13450,Mitch McConnell,US Senator from Kentucky,"Person,Elected Representative,Political Candidate"
2014,207661,Benedict Cumberbatch,Actor,"Person,Media Personality"
2014,159557,Taylor Swift,Singer,Person
2014,72743,Scott Kelly,Astronaut; brother of fellow astronaut Mark Kelly,Person
2013,149033,Pope Francis,Head of the Catholic church,Person
2013,6634,Carl C Icahn,Billionaire business magnate and investor; longtime Trump friend,"Person,Business Person"
2013,35618,John F Kennedy,35th President of the United States,"Person,Elected Representative,Political Candidate"
2013,44874,Chris Christie,Governor of New Jersey,"Person,Elected Representative,Lawyer,Political Candidate"
2013,90398,Prince Charles,Heir to the British throne,"Person,Public Official"
2013,14932,Michael Bloomberg,NYC's info-billionaire former mayor; Publisher of Bloomberg LP,"Person,Business Person"
2013,109708,Johnny Manziel,2012 Heisman Trophy winner,Person
2013,13503,Barack Obama,44th President of the United States,"Person,Elected Representative,Political Candidate"
2013,149035,Martin Luther King Jr,Civil Rights Leader,Person
2013,112400,Bradley Manning,Charged with leaking classified material to WikiLeaks,Person
2013,149036,Edward Snowden,American computer specialist disclosed thousands of classified documents,"Person,Business Person"
2013,111499,Aaron H Swartz,Computer activist,"Person,Business Person"
2013,13267,Rahm Emanuel,Mayor of Chicago: Former White House Chief of Staff,"Person,Elected Representative,Political Candidate,Public Official"
2013,67108,Angelina Jolie,actor,Person
2013,91612,Rand Paul,US Senator from Kentucky,"Person,Elected Representative,Political Candidate"
2013,67099,Jay-Z,,Person
2013,149037,Aamir Khan,Indian film star,"Person,Media Personality"
2013,38805,Elon Musk,Chief Executive Officer of Tesla Motors,"Person,Business Person"
2013,149038,Li Na,Chinese professional tennis player,"Person,Media Personality"
2013,149039,Malala Yousafzai,Pakistani education activist,"Person,Media Personality"
2013,149040,Jennifer Lawrence,Actress,"Person,Media Personality"
2013,149041,Oscar Pistorius,South African athlete,"Person,Media Personality"
2013,112628,Joseph Aloisius Ratzinger,Pope Benedict XVI,"Person,Public Official"
2013,91622,Marco Rubio,US Senator from Florida; 2016 GOP Presidential candidate,"Person,Elected Representative,Political Candidate"
2013,149044,Kathryn Bigelow,Film director,"Person,Media Personality"
2013,13300,Gabby Giffords,US Representative from Arizona,"Person,Elected Representative,Political Candidate"
2013,13047,Joe Biden,US Senator and Vice President,"Person,Elected Representative,Political Candidate"
2012,95964,Roger Goodell,Commissioner -- National Football League,Person
2012,28650,David Howell Petraeus,Former CIA director and former ISAF commander,"Person,Public Official"
2012,149045,Daniel Day-Lewis,Actor,"Person,Media Personality"
2012,149046,Xi Jinping,General Secretary of the Communist Party of China,"Person,Public Official"
2012,34136,Mitt Romney,Former Governor of Massachusetts,"Person,Political Candidate,Elected Representative,Business Person,Public Official,Lawyer"
2012,28668,Bill Clinton,42nd US president,"Person,Elected Representative,Political Candidate"
2012,33847,John G Roberts,Current Chief Justice of the United States,"Person,Public Official,Lawyer"
2012,33852,Anthony M Kennedy,Associate Justice of the Supreme Court of the United States,"Person,Public Official,Lawyer"
2012,94426,Lenore Romney,mother of Mitt Romney,Person
2012,37138,Benjamin Netanyahu,Prime Minister of Israel and is Chairman of the conservative Likud Party,"Person,Public Official,Business Person"
2012,28776,George W Bush,"43rd US president, ex-governor of Texas, son of George H W Bush","Person,Political Candidate,Business Person,Public Official"
2012,83783,Preet Bharara,US Attorney for Southern District of New York,"Person,Public Official,Lawyer"
2012,14923,Warren Buffett,"CEO at Berkshire Hathaway, Investor","Person,Business Person"
2011,13191,Hillary Clinton,US Secretary of State & NY Senator; 2016 Democratic Presidential candidate,"Person,Elected Representative,Political Candidate,Business Person,Public Official,Lawyer"
2011,2107,Steven P Jobs,"co-founder, Apple","Person,Business Person"
2011,34415,Rick Perry,former Governor of Texas; Trump's Energy Secretary,"Person,Political Candidate,Elected Representative,Business Person"
2011,77590,Muammar Gaddafi,Libyan dictator,Person
2011,149049,George Washington,First President of the United States of America,"Person,Political Candidate,Elected Representative,Public Official"
2011,14988,Rupert Murdoch,Chairman and CEO of News Corp and 21st Century Fox,"Person,Business Person"
2011,119450,Jon M Huntsman Jr,"Trump nominee to be ambassador to Russia; Chairman, the Atlantic Council | former Governor of Utah","Person,Business Person,Political Candidate,Elected Representative"
2011,34154,Tim Pawlenty,Former Governor of Minnesota; President and CEO of Financial Services Roundtable,"Person,Political Candidate,Elected Representative"
2011,13945,Newt Gingrich,Former US Representative from Georgia,"Person,Elected Representative,Political Candidate"
2011,12980,Michele Bachmann,US Representative from Minnesota,"Person,Elected Representative,Political Candidate"
2011,13735,Rick Santorum,US Representative and Senator from Pennsylvania,"Person,Elected Representative,Political Candidate,Business Person"
2011,13513,Ron Paul,US Representative from Texas,"Person,Elected Representative,Political Candidate"
2011,33159,Sarah Palin,Former Governor of Alaska and former candidate for vice president,"Person,Political Candidate,Elected Representative"
2011,2795,Herman Cain,Businessman. Conservative Talk Show host based in Atlanta,"Person,Business Person,Political Candidate,Media Personality"
2011,73190,Mehmet Oz,Cardiac Surgeon and Talk Show Host,"Person,Media Personality"
2011,107390,Osama bin Laden,,"Person,Public Official"
2011,90399,Prince William,1st Duke of Cambridge,"Person,Public Official"
2011,110533,Catherine Elizabeth Middleton,Duchess of Cambridge,"Person,Public Official"
2011,33484,Robert Swan Mueller III,former Director of FBI under George W Bush,"Person,Public Official,Lawyer"
2011,138516,Abraham Lincoln,16th President of the United States,"Person,Political Candidate,Elected Representative,Lawyer"
2011,34620,Ronald Reagan,40th US president,"Person,Political Candidate,Elected Representative,Public Official"
2011,149050,Jared Lee Loughner,"American who shot Gabrielle Giffords, killing 6 others",Person
2011,149051,Aung San Suu Kyi,"Burmese opposition leader, won Nobel Peach Prize in 1991",Person
2010,15362,Mark Zuckerberg,Facebook founder,"Person,Business Person"
2010,149052,Julian Assange,"Australian publisher, founder of WikiLeaks","Person,Media Personality"
2010,13083,John Boehner,US Representative from Ohio,"Person,Elected Representative,Political Candidate"
2010,39175,Christine O'Donnell,Pro-family marketing and media consultant,"Person,Political Candidate"
2010,1414,Meg Whitman,"President & CEO of Hewlett Packard, Former President & CEO of eBay","Person,Business Person,Political Candidate"
2010,116349,Tony Blair,British Prime Minister,"Person,Elected Representative,Business Person,Public Official"
2010,149053,Jonathan Franzen,Novelist,Person
2010,149054,Bibi Aisha,Afghan woman who had her nose and ears cut off by her husband and his family,"Person,Media Personality"
2010,149055,Bryan Moore,,Person
2010,149056,Thomas Edison,American inventor,"Person,Business Person"
2010,39820,Elizabeth Warren,US Senator from Massachusetts; Harvard law professor; Chair of Congressional Oversight Panel; 2020 Democratic presidential primary candidate,"Person,Lawyer,Political Candidate,Academic,Public Official,Elected Representative"
2010,2031,Mary L Schapiro,Former SEC chairman in Obama administration,"Person,Business Person"
2010,37841,Sheila Bair,"Former Head of FDIC (2006-2011); President of Washington College in Chestertown, MD","Person,Public Official,Political Candidate,Business Person"
2010,67011,Lady Gaga,Musician,"Person,Media Personality"
2010,149057,Didier Drogba,Professional soccer player from Ivory Coast,"Person,Media Personality"
2010,67012,Tom Hanks,Actor,Person
2010,33273,Robert Gates,Secretary of Defense under George W Bush and Barack Obama,"Person,Public Official,Business Person"
2009,34627,Ben Bernanke,Chairman of the Federal Reserve,Person
2009,108401,Salman Khan,e-learning  advocate,Person
2009,149058,Nidal Malik Hasan,Fort Hood shooter,Person
2009,149059,Elena Evangelo,Actress,"Person,Media Personality"
2009,149060,Chet Millard,Iraq/Afghanistan Vet,"Person,Media Personality"
2009,41266,Glenn Beck,Conservative talk show host and political commentator,"Person,Media Personality"
2009,149061,Jay Leno,"Comedian, former host of the Tonight Show","Person,Media Personality"
2009,13375,Ted Kennedy,Former US Senator from Massachusetts,"Person,Elected Representative,Political Candidate"
2009,14305,Dick Cheney,Vice President under George W Bush; neoconservative leader; former Secretary of Defense and corporate executive,"Person,Elected Representative,Political Candidate"
2009,149062,Buzz Aldrin,Second astronaut to walk on the moon,"Person,Media Personality"
2009,149063,Michael Jackson,"""The King of Pop""; singer with Jackson 5","Person,Media Personality"
2009,49159,Franklin D Roosevelt,32nd President of the United States 1933-45,"Person,Political Candidate,Elected Representative,Lawyer"
2009,37933,Sonia Sotomayor,Associate Justice of the SCOTUS,"Person,Lawyer"
2009,34595,Michelle Obama,First Lady,"Person,Lawyer"
2009,149064,Arlenis Sosa Peña,Dominican model,"Person,Media Personality"
2009,149065,Kate Winslet,Actress,"Person,Media Personality"
2008,149066,Michelle Rhae,,Person
2008,149067,Sylvia Tamburo,Australian cruise line operator,"Person,Business Person"
2008,13443,John S. McCain III,US Senator and Representative from Arizona,"Person,Elected Representative,Political Candidate"
2008,36051,Rick Warren,"Pastor and founder of Saddleback Church in Lake Forest, CA","Person,Media Personality"
2008,45609,Nelson Mandela,South African leader,"Person,Elected Representative"
2008,149068,Mark Twain,"American humorist, novelist","Person,Media Personality"
2008,36053,Ann Dunham,President Obama's mother,"Person,Academic,Public Official"
2008,149069,Dalai Lama,Spiritual leader,"Person,Media Personality"
2008,45971,George Clooney,Actor,"Person,Media Personality"
2008,141296,Benazir Bhutto,,Person
2007,149070,Vladimir Putin,President of Russia,"Person,Elected Representative,Public Official"
2007,149071,Mother Teresa,"The Blessed Teresa of Calcutta, M.C.",Person
2007,33952,Arnold Schwarzenegger,Governor of California,"Person,Political Candidate,Elected Representative,Media Personality"
2007,14210,Al Gore,Vice President of the United States 1993-2001,"Person,Elected Representative,Political Candidate,Business Person,Public Official"
2007,149072,Don Imus,Long time radio personality,"Person,Media Personality"
2007,149073,Haji Bashar Noorzai,Convicted former Afghan drug lord,Person
2006,78432,Theodore Roosevelt,26th President of the United States,"Person,Political Candidate,Public Official"
2006,149074,Abu Musab al-Zarqawi,Jordanian militant Islamist who ran a paramilitary training camp in Afghanistan,Person
2006,33391,Michael Hayden,CIA director under George W Bush; former NSA director,"Person,Public Official,Business Person"
2006,149075,Nick Furth,Autistic child,Person
2006,149076,Christine Harden,High School Drop-out,Person
2006,149077,Daria Werbowy,Ukrainian Canadian model,"Person,Media Personality"
2006,3084,Sergey Brin,Co-founder and President of Technology for Google,"Person,Business Person"
2006,2509,Eric E Schmidt,"Chairman, Alphabet Inc; former CEO of Google","Person,Business Person"
2006,14940,Larry Page,"Co-founder and President of Products at Google; CEO of Alphabet, Inc.","Person,Business Person"
2006,1138,William Clay Ford Jr,"Director and consultant, Ford Motor","Person,Business Person"
2006,149078,Bode Miller,Olympic skier,"Person,Media Personality"
2006,26331,Jack A Abramoff,Convicted GOP lobbyist and embezzler,"Person,Lobbyist"
2005,7850,Melinda French Gates,Co-Chair of the Bill & Melinda Gates Foundation,"Person,Business Person"
2005,1526,Bill Gates,Founder of Microsoft,"Person,Business Person"
2005,67020,Bono,Entertainer; Philanthropist,"Person,Media Personality"
2005,15097,Steven Spielberg,Director/Producer | Hollywood's Dreamworks SKG,"Person,Business Person"
2005,118289,Andrew Weil,"MD, author, Spontaneous Healing","Person,Academic,Media Personality"
2005,149079,Kanye West,"Singer, entertainer","Person,Media Personality"
2005,33611,Karl Rove,Chief strategist and top advisor to George W Bush,"Person,Public Official"
2005,98212,Ann Coulter,"Newspaper columnist, TV pundit","Person,Lawyer,Media Personality"
2005,149080,John Paul II,Pope,Person
2004,13377,John Kerry,"68th US Secretary of State, Senator from Massachusetts","Person,Elected Representative,Political Candidate"
2004,74353,Michael Phelps,Swimming,Person
2004,13766,John Edwards,US Senator from North Carolina,"Person,Elected Representative,Political Candidate"
2004,149081,Michael Moore,"Documentary filmmaker, author","Person,Media Personality"
2004,84252,Thomas Jefferson,"Third president of the United States of America, and the most conspicuous apostle of democracy in America.","Person,Political Candidate,Public Official"
2004,34434,Howard Dean,Former Governor of Vermont,"Person,Political Candidate,Elected Representative"
2003,149082,Jessica Dawn Lynch,Former US Army soldier who served in Iraq during the 2003 invasion,Person
2003,149083,Russell Crowe,Actor,"Person,Media Personality"
2003,149084,Johnny Cash,"Singer, entertainer","Person,Media Personality"
2003,100125,Benjamin Franklin,Signer of the Declaration of Independence,"Person,Business Person,Public Official"
2003,1189,General Tommy R Franks,,"Person,Business Person"
2003,149085,Saddam Hussein,Fifth President of Iraq,Person
2003,33418,Donald H Rumsfeld,Secretary of Defense under George W Bush and Gerald Ford; neoconservative leader; corporate CEO,"Person,Business Person,Public Official"
2003,149086,Kim Jong II,"Supreme Leader of the Democratic People's Republic of Korea, commonly referred to as North Korea (1994 to 2011)",Person
2002,13425,Trent Lott,US Representative and Senator from Mississippi,"Person,Elected Representative,Political Candidate,Lobbyist"
2002,110900,Bruce Springsteen,Musician - The Boss,"Person,Media Personality"
2002,100978,Tom Cruise,Actor,Person
2002,149087,Yasser Arafat,Palestinian leader,Person
2002,149088,David Jacques Pelletier,Canadian pairs figure skater,"Person,Media Personality"
2002,149089,Jamie Rae Salé,Canadian pair skater,"Person,Media Personality"
2002,149090,Sarah Hughes,American figure skater,"Person,Media Personality"
2001,28801,Rudolph W Giuliani,Trump adviser; former mayor of New York City,"Person,Political Candidate"
2001,149091,George Harrison,"Musician, member of the Beatles","Person,Media Personality"
2001,33471,Colin L Powell,Secretary of State under George W Bush; Chairman of the Joint Chiefs of Staff under George H W Bush,"Person,Public Official,Business Person"
2001,74359,Serena Williams,WTA Tennis,Person
2001,74396,Venus Williams,WTA Tennis,Person
2001,149092,James Alexander Thomson,American developmental biologist best known for deriving the first human embryonic stem cell (SC) line in 1998,"Person,Academic"
2001,118258,Julia Roberts,Actress,"Person,Media Personality"
2001,149093,Erik Weihenmayer,First blind person to reach the summit of Mount Everest,"Person,Media Personality"
2001,149094,Timothy McVeigh,Oklahoma City bomber,Person
2001,4115,Bob Kerrey,Former US Senator from Nebraska,"Person,Business Person,Elected Representative,Political Candidate"
2001,149095,Dale Earnhardt,NASCAR driver,Person
2001,13875,John Ashcroft,"Former US Senator from Missouri, also served as US Attorney General","Person,Elected Representative,Political Candidate,Lobbyist"
2000,145023,Shawn Fanning,Napster founder turned tech investor,Person
2000,149096,Marion Lois Jones,World champion track and field athlete,"Person,Media Personality"
2000,76179,Kofi A Annan,Former UN Secretary General; Trustee of CEIP,"Person,Public Official"
2000,13416,Joe Lieberman,former US Senator from Connecticut,"Person,Elected Representative,Political Candidate"
2000,43932,Tiger Woods,Professional Golfer,"Person,Business Person,Media Personality"
2000,149097,Ingo Potrykus,"Professor Emeritus of Plant Sciences at the Institute of Plant Sciences of the Swiss Federal Institute of Technology (ETH), Zurich","Person,Academic"
2000,67052,Craig Venter,synthetic genomics,Person
2000,39071,Francis Collins,Director of National Institutes of Health,"Person,Public Official,Academic"
2000,149098,Elian Gonzalez,Cuban child involved in immigration battle,Person
2000,149099,Stephen King,"Writer, novelist","Person,Media Personality"
2000,104688,Katie Couric,"Global Anchor, Yahoo News",Person
2000,149100,Amadou Bailo Diallo,"23-year-old immigrant from Guinea killed in New York City February 4, 1999 by four NYPD plainclothes police",Person
2000,70518,Leonardo DiCaprio,Actor; Environmentalist,Person
2000,13986,Bill Bradley,"Former US Senator from New Jersey; Managing Director, Allen & Company LLC","Person,Elected Representative,Political Candidate,Business Person"
2000,2725,Jerry W Levin,chairman and CEO of JW Levin Partners LLC,"Person,Business Person"
2000,37296,Steve Case,Revolution LLC chair and AOL Founder,"Person,Business Person"
1999,47850,Albert Einstein,"Nobel Laureate, Physics Prize, 1921 ","Person,Academic"
1999,3342,Jeff Bezos,"Founder and CEO, Amazon.com | Owner, Washington Post","Person,Business Person"
1999,35974,John F Kennedy Jr,"Son of 35th President, John F Kennedy","Person,Media Personality"
1999,149102,Nicole Kidman,Actress,"Person,Media Personality"
1999,149103,Ricky Martin,"Pop musician, actor and author","Person,Media Personality"
1999,33351,Madeleine K Albright,Secretary of State; political consultant,"Person,Lobbyist,Public Official,Public Intellectual"
1999,149104,Slobodan Milosevic,President of Serbia (1989 - 1997) and President of the Federal Republic of Yugoslavia (1997-2000),"Person,Public Official"
1999,149105,Monica Lewinsky,"Had an ""inappropriate relationship"" with Bill Clinton",Person
1999,14597,Larry Summers,Director of the National Economic Council,"Person,Public Official,Academic"
1999,1164,Robert E Rubin,Former Treasury Secretary; co-chair of Council on Foreign Relations,"Person,Business Person"
1999,34963,Alan Greenspan,Former chair of the Federal Reserve,"Person,Public Official"
1999,149106,Lauryn Hill,"American singer–songwriter, rapper, producer, and actress","Person,Media Personality"
1998,33464,Kenneth W Starr,Former Baylor president; Independent Counsel during Clinton Administration,"Person,Public Official,Lawyer"
1998,149107,Tom Wolfe,"Writer, novelist","Person,Media Personality"
1998,15125,Oprah Winfrey,Talk show host; billionaire,"Person,Business Person,Media Personality"
1998,149109,Boris Yeltsin,First President of the Russian Federation (1991-1999),Person
1998,13946,John Glenn,US Senator from Ohio,"Person,Elected Representative,Political Candidate"
1998,149110,Mark McGwire,Former professional baseball player,"Person,Media Personality"
1998,51047,Ken Griffey Jr,Hall of Fame MLB baseball player,Person
1998,42883,Michael Jordan,Retired professional basketball player; owner of Charlotte Hornets of the NBA,"Person,Business Person"
1998,149112,Jim Carrey,Comic actor,"Person,Media Personality"
1998,149113,Frank Sinatra,"Singer, entertainer","Person,Media Personality"
1998,149114,Paula Jones,Former Arkansas state employee who sued U.S. President Bill Clinton for sexual harassment,"Person,Public Official"
1998,149115,John Travolta,Actor,"Person,Media Personality"
1998,118150,Fidel Alejandro Castro,President of Cuba,"Person,Public Official,Lawyer"
1998,69387,Toni Morrison,"Professor, Princeton University; Nobel Prize and Pulitzer Prize winning American novelist","Person,Academic,Media Personality"
1998,47197,Jerry Seinfeld,"Comedian, producer","Person,Media Personality"
1997,20818,Andrew S. Grove,Intel co-founder and former CEO,"Person,Lobbyist,Business Person"
1997,90401,Princess Diana,Princess of Wales,"Person,Public Official"
1997,149116,Bobbi McCaughey,Gave birth to septuplets in 1997,Person
1997,149117,Colin Michael Foale,Space shuttle astronaut,"Person,Media Personality"
1997,67109,Brad Pitt,actor,"Person,Media Personality"
1997,14965,George Soros,Currency speculator and major donor to liberal groups,"Person,Business Person"
1997,149118,Gianni Versace,Fashion designer; murdered in 1997,"Person,Business Person"
1997,149119,Andrew Cunanen,"Spree killer who murdered at least five people in 1997, including fashion designer Gianni Versace",Person
1997,149120,Kelly Flinn,First female B-52 pilot in the USAF,Person
1997,110899,Ellen DeGeneres,Comedian and talk show host,"Person,Media Personality"
1997,149121,Marshall Herff Applewhite Jr,Religious leader founded Heaven's Gate religious group; organized their mass suicide in 1997,Person
1997,149122,Deng Xiaoping,Politician; reformist leader of the People's Republic of China,Person
1997,97377,O J Simpson,Hall of Fame football player; actor,"Person,Media Personality"
1997,142241,Bill Cosby,"Comedian, Actor","Person,Media Personality"
1996,47459,David D Ho,AIDS Researcher,"Person,Academic"
1996,14002,Bob Dole,former US Representative and Senator from Kansas | lobbyist,"Person,Elected Representative,Political Candidate,Lobbyist"
1996,149126,Goldie Hawn,"American actress, film director, producer","Person,Media Personality"
1996,90660,Bette Midler,"Singer, actress","Person,Media Personality"
1996,144547,Diane Keaton,,Person
1996,14963,Edward Johnson III,CEO of Fidelity Investments,"Person,Business Person"
1996,149128,Eileen McGann,"CEO, Vote.com","Person,Lawyer"
1996,69718,Dick Morris,"Political Operative, Fox News Contributor","Person,Lobbyist"
1996,149129,Christopher Reeve,"Actor, activist for disabled","Person,Media Personality"
1996,24555,Jack Kemp,US Representative from New York,"Person,Lobbyist,Political Candidate,Elected Representative,Business Person"
1996,13250,Elizabeth Hanford Dole,Former US Senator from North Carolina,"Person,Elected Representative,Political Candidate,Public Official,Lawyer"
1996,77577,Billy Graham,Evangelist,Person
1996,77578,Franklin Graham,Evangelist,Person
1996,34664,Caroline Kennedy,Daughter of JFK,"Person,Lawyer,Media Personality"
1996,73228,Jacqueline Kennedy Onassis,,Person
1996,149130,Jessica Whitney Dubroff,Seven-year-old pilot trainee who died attempting to become the youngest person to fly an airplane across the US,"Person,Media Personality"
1996,149131,Ted Kaczynski,"The ""Unabomber""",Person
1996,5811,H Norman Schwarzkopf,,"Person,Business Person"
1996,149132,George Galatis,Nuclear Whistleblower,Person
1996,12932,Lamar Alexander,US Senator from Tennessee,"Person,Elected Representative,Political Candidate"
1996,36582,Patrick J Buchanan,"Nixon administration staff member, conservative pundit and presidential candidate","Person,Political Candidate,Media Personality"
1996,41945,Marc Andreessen,"Co-founded Netscape Communications Corp | Director: Ebay, Facebook, Hewlett","Person,Business Person"
1996,42007,Magic Johnson,Partner of Guggenheim Baseball Management; part owner of the Los Angeles Dodgers,"Person,Business Person"
1996,87977,William J. Bratton,"Commissioner, NYPD","Person,Business Person"
1995,149133,Elisa Izquierdo,Six-year-old Puerto Rican–Cuban-American girl beaten to death by her mother Awilda Lopez in 1995,Person
1995,149134,Andrew F Hawley,US Army paratrooper,Person
1995,149172,Yitzhak Rabin,"Fifth Prime Minister of Israel, serving 1974–77 and 1992 until his assassination in 1995","Person,Public Official"
1995,149174,Richard E Carver,Former Mayor of Peoria Illinois,"Person,Political Candidate,Business Person,Public Official"
1995,149175,Michael Crichton,"Writer, novelist","Person,Media Personality"
1995,149176,Scott Francis O'Grady,USAF pilot shot down over Bosnia in 1995,Person
1995,38205,Ralph Reed,Conservative political activist and first executive director of Christian Coalition,"Person,Political Candidate,Lobbyist"
