,name,year
0,The Band,1970
1,Najeeb Halaby,1970
2,Biafra,1970
3,Barry Commoner,1970
4,Jane Fonda,1970
5,Anita Caspary,1970
6,Jesse Jackson,1970
7,Günter Grass,1970
8,Richard Nixon,1970
9,Jim Lovell,1970
10,Leonid Brezhnev,1970
11,William H. Masters,1970
12,Arthur Burns,1970
13,Richard Nixon,1970
14,Mike Nichols,1970
15,Edward Heath,1970
16,Jerry Vernon Wilson,1970
17,Henry Ford II,1970
18,Alaska,1970
19,William P. Rogers,1970
20,Howard Stein,1970
21,Kate Millett,1970
22,Elliott Gould,1970
23,John Fairchild,1970
24,Richard Nixon,1970
25,Gamal Abdel Nasser,1970
26,Salvador Allende,1970
27,Adlai Stevenson III,1970
28,Martha Beall Mitchell,1970
29,Elmo Zumwalt,1970
30,Willy Brandt,1971
31,Ali MacGraw,1971
32,Philip Berrigan,1971
33,Carl Albert,1971
34,Creighton Abrams,1971
35,James Taylor,1971
36,Joe Frazier,1971
37,George C. Scott,1971
38,Konstantin Katushev,1971
39,William Calley,1971
40,Alexis Smith,1971
41,Akio Morita,1971
42,Anwar Sadat,1971
43,Jimmy Carter,1971
44,Dick Cavett,1971
45,Edward F. Cox,1971
46,Daniel Ellsberg,1971
47,Joseph Colombo,1971
48,Lee Trevino,1971
49,Henry Kissinger,1971
50,David Scott,1971
51,George Shultz,1971
52,Vida Blue,1971
53,Richard Nixon,1971
54,George Meany,1971
55,Edmund Muskie,1971
56,B. F. Skinner,1971
57,Attica Prison riot,1971
58,Emperor Hirohito,1971
59,John Connally,1971
60,William Rehnquist,1971
61,Chou En-lai,1971
62,Beverly Sills,1971
63,Edward Kennedy,1971
64,Indira Gandhi,1971
65,Richard Nixon,1972
66,Roger Staubach,1972
67,Howard Hughes,1972
68,Flip Wilson,1972
69,Henry Kissinger,1972
70,Robert Coles,1972
71,Clifford Irving,1972
72,Liza Minnelli,1972
73,Richard Nixon,1972
74,George Wallace,1972
75,Jack Anderson,1972
76,Richard Nixon,1972
77,George McGovern,1972
78,Võ Nguyên Giáp,1972
79,Leonid Brezhnev,1972
80,Kemmons Wilson,1972
81,Edwin Land,1972
82,Woody Allen,1972
83,Johnny Bench,1972
84,Kenneth Elstein,1972
85,George McGovern,1972
86,Boris Spassky,1972
87,Thomas Eagleton,1972
88,Sargent Shriver,1972
89,Richard Nixon,1972
90,Mark Spitz,1972
91,Redd Foxx,1972
92,Richard Nixon,1972
93,Pat Nixon,1972
94,Joe Namath,1972
95,Henry Kissinger,1972
96,Richard Bach,1972
97,Richard Nixon,1972
98,Ernest and Julio Gallo,1972
99,Liv Ullmann,1972
100,Don Shula,1972
101,Henry Kissinger,1973
102,Marlon Brando,1973
103,Ian Anderson,1973
104,George Shultz,1973
105,Carlos Castaneda,1973
106,Robert A. Good,1973
107,L. Patrick Gray,1973
108,Muammar Gaddafi,1973
109,Sam Ervin,1973
110,Pedro Arrupe,1973
111,Georg Solti,1973
112,Richard Nixon,1973
113,John N. Mitchell,1973
114,Richard Nixon,1973
115,Leonid Brezhnev,1973
116,John Dean,1973
117,John Dean,1973
118,Marilyn Monroe,1973
119,John N. Mitchell,1973
120,Richard Nixon,1973
121,Wendell Anderson,1973
122,Spiro Agnew,1973
123,Henry Kissinger,1973
124,Bobby Riggs,1973
125,Salvador Allende,1973
126,Spiro Agnew,1973
127,Spiro Agnew,1973
128,Gerald Ford,1973
129,Archibald Cox,1973
130,Richard Nixon,1973
131,Peter Falk,1973
132,Rose Mary Woods,1973
133,Gerald Ford,1973
134,John Sirica,1974
135,William E. Simon,1974
136,Nixon White House tapes,1974
137,Tip O'Neill,1974
138,James Schlesinger,1974
139,Exxon,1974
140,Aleksandr Solzhenitsyn,1974
141,Leon Jaworski,1974
142,Robert Redford,1974
143,James D. St. Clair,1974
144,Henry Kissinger,1974
145,Richard Nixon,1974
146,Patty Hearst,1974
147,Merle Haggard,1974
148,Richard Nixon,1974
149,Reggie Jackson,1974
150,Henry Kissinger,1974
151,Anwar Sadat,1974
152,Leonid Brezhnev,1974
153,Supreme Court,1974
154,Peter W. Rodino,1974
155,Jack Nicholson,1974
156,Gerald Ford,1974
157,Nelson Rockefeller,1974
158,Gerald Ford,1974
159,William Colby,1974
160,Betty Ford,1974
161,Jerry Brown,1974
162,Mary Tyler Moore,1974
163,Mohammad Reza Pahlavi,1974
164,Yasser Arafat,1974
165,David L. Boren,1974
166,Yitzhak Rabin,1974
167,Joni Mitchell,1974
168,Biblical Magi,1974
169,John Laragh,1975
170,Gerald Ford,1975
171,Chou En-Lai,1975
172,Henry M. Jackson,1975
173,Bernie Parent,1975
174,American Jews,1975
175,Cher,1975
176,Gerald Ford,1975
177,Jimmy Connors,1975
178,Ho Chi Minh,1975
179,Mikhail Baryshnikov,1975
180,Mayaguez Incident,1975
181,Anwar Sadat,1975
182,Margaux Hemingway,1975
183,Elton John,1975
184,Adam Smith,1975
185,Ford family,1975
186,Gerald Ford,1975
187,Otelo Saraiva de Carvalho,1975
188,Charles O. Finley,1975
189,Yitzhak Rabin,1975
190,Lynette Alice Fromme,1975
191,Patricia Hearst,1975
192,Gerald Ford,1975
193,Maharishi Mahesh Yogi,1975
194,Abraham Beame,1975
195,Bruce Springsteen,1975
196,Juan Carlos,1975
197,Sarah Caldwell,1975
198,Donald Rumsfeld,1975
199,Ronald Reagan,1975
200,Bloomingdale's,1975
201,L. C. Greenwood,1975
202,Marisa Berenson,1975
203,J. Edgar Hoover,1975
204,Mother Teresa,1975
205,Betty Ford,1976
206,Teng Hsiao-p'ing,1976
207,Daniel Patrick Moynihan,1976
208,Dorothy Hamill,1976
209,Doonesbury,1976
210,F. Lee Bailey,1976
211,Gore Vidal,1976
212,Jimmy Carter,1976
213,Dustin Hoffman,1976
214,Howard Hughes,1976
215,Jimmy Carter,1976
216,Gerald Ford,1976
217,Paul McCartney,1976
218,Enrico Berlinguer,1976
219,Jimmy Carter,1976
220,Thomas Jefferson,1976
221,Jimmy Carter,1976
222,Nadia Comăneci,1976
223,Gerald Ford,1976
224,Mao Tse-tung,1976
225,Jimmy Carter,1976
226,Ian Smith,1976
227,Gerald Ford,1976
228,Jimmy Carter,1976
229,Jimmy Carter,1976
230,Robert Rauschenberg,1976
231,Howard Hughes,1976
232,Hamilton Jordan,1976
233,Jimmy Carter,1977
234,Super Bowl XI,1977
235,Rupert Murdoch,1977
236,Amy Carter,1977
237,Alex Haley,1977
238,Andrei Sakharov,1977
239,Linda Ronstadt,1977
240,Idi Amin,1977
241,Marabel Morgan,1977
242,Jiang Qing,1977
243,Lily Tomlin,1977
244,James Schlesinger,1977
245,Jimmy Carter,1977
246,Uncle Sam,1977
247,Richard Nixon,1977
248,Harold Brown,1977
249,Menachem Begin,1977
250,Jody Powell,1977
251,Peter Frampton,1977
252,James Earl Ray,1977
253,Adolfo Suárez,1977
254,Rod Carew,1977
255,Jimmy Carter,1977
256,Arthur Ochs Sulzberger,1977
257,Panama Canal,1977
258,Fred Silverman,1977
259,Bert Lance,1977
260,Diane Keaton,1977
261,John le Carré,1977
262,Jimmy Carter,1977
263,Mstislav Rostropovich,1977
264,Hanns Martin Schleyer,1977
265,Richard Leakey,1977
266,John Vorster,1977
267,Anwar Sadat,1977
268,Dixy Lee Ray,1977
269,Jesus,1977
270,Anwar Sadat,1978
271,Burt Reynolds,1978
272,Super Bowl XII,1978
273,Robert Byrd,1978
274,Michael Blumenthal,1978
275,Stansfield Turner,1978
276,Pierre Trudeau,1978
277,Muhammad Ali,1978
278,Cheryl Tiegs,1978
279,Menachem Begin,1978
280,John Travolta,1978
281,Saul Steinberg,1978
282,Cyrus Vance,1978
283,Gelsey Kirkland,1978
284,"Charles, Prince of Wales",1978
285,Steve Cauthen,1978
286,Joseph Califano,1978
287,Howard Jarvis,1978
288,Warren Beaty,1978
289,G. William Miller,1978
290,Nathan Sharansky,1978
291,Sebastiano Baggio,1978
292,Mario Puzo,1978
293,John Paul I,1978
294,Menachem Begin,1978
295,Menachem Begin,1978
296,Jimmy Carter,1978
297,John Paul I,1978
298,John Paul II,1978
299,Pat Benedict,1978
300,Letitia Baldrige,1978
301,Michel Bergerac,1978
302,Jimmy Carter,1978
303,Teng Hsiao-ping,1979
304,Philip Johnson,1979
305,Leonid Brezhnev,1979
306,Teng Hsiao-ping,1979
307,Ruhollah Khomeini,1979
308,Albert Einstein,1979
309,Iran,1979
310,Sino-Vietnamese War,1979
311,Robin Williams,1979
312,Jimmy Carter,1979
313,Homosexuality in America,1979
314,Woody Allen,1979
315,Margaret Thatcher,1979
316,Russell Baker,1979
317,Helmut Schmidt,1979
318,John Paul II,1979
319,Jimmy Carter,1979
320,Jimmy Carter,1979
321,Diane Lane,1979
322,Ansel Adams,1979
323,John Connally,1979
324,Cyrus Vance,1979
325,Luciano Pavarotti,1979
326,Henry Kissinger,1979
327,José López Portillo,1979
328,John Paul II,1979
329,Paul Volcker,1979
330,David C. Jones,1979
331,Edward Kennedy,1979
332,Ruhollah Khomeini,1979
333,Mohammad Reza Shah,1979
334,Ruhollah Khomeini,1980
335,Jimmy Carter,1980
336,Eric Heiden,1980
337,Dan Rather,1980
338,Peter Sellers,1980
339,Ronald Reagan,1980
340,Jimmy Carter,1980
341,Interferon,1980
342,Thornton Wilson,1980
343,Jimmy Carter,1980
344,Jimmy Carter,1980
345,Edmund Muskie,1980
346,Darth Vader,1980
347,Pablo Picasso,1980
348,Björn Borg,1980
349,Ronald Reagan,1980
350,Billy Carter,1980
351,Larry Hagman,1980
352,Jimmy Carter,1980
353,Jimmy Carter,1980
354,Thomas Murphy,1980
355,Bear Bryant,1980
356,Jimmy Carter,1980
357,Carl Sagan,1980
358,Jimmy Carter,1980
359,Ronald Reagan,1980
360,Jane Pauley,1980
361,John Lennon,1980
362,Lech Walesa,1980
363,Ronald Reagan,1981
364,Brooke Shields,1981
365,Margaret Thatcher,1981
366,Herbert Boyer,1981
367,Alexander Haig,1981
368,Ronald Reagan,1981
369,"Diana, Princess of Wales",1981
370,Billy Martin,1981
371,Menachem Begin,1981
372,Pope John Paul II assassination attempt,1981
373,Ed Koch,1981
374,Operation Opera,1981
375,François Mitterrand,1981
376,Sandra Day O'Connor,1981
377,Caspar Weinberger,1981
378,"Charles, Prince of Wales",1981
379,James Rouse,1981
380,John Irving,1981
381,Meryl Streep,1981
382,Jesse Helms,1981
383,Ronald Reagan,1981
384,Nicholas Nickelby,1981
385,Anwar Sadat,1981
386,Ronald Reagan,1981
387,Katharine Hepburn,1981
388,Muammar Gaddafi,1981
389,Wojciech Jaruzelski,1981
390,Lech Walesa,1982
391,Joe Montana,1982
392,Franklin D. Roosevelt,1982
393,Steve Jobs,1982
394,Jaclyn Smith,1982
395,Henry Kissinger,1982
396,Paul Volcker,1982
397,Giorgio Armani,1982
398,Howard Baker,1982
399,John Paul II,1982
400,Gerry Cooney,1982
401,George Shultz,1982
402,Ayatullah Khomeini,1982
403,Ted Turner,1982
404,James G. Watt,1982
405,Menachem Begin,1982
406,Ariel Sharon,1982
407,Jimmy Carter,1982
408,John Updike,1982
409,John De Lorean,1982
410,Yuri Andropov,1982
411,Joseph Bernardin,1982
412,Paul Newman,1982
413,Ronald Reagan,1982
414,Miguel de la Madrid,1982
415,James Levine,1983
416,Pershing II,1983
417,Robert Mitchum,1983
418,Menachem Begin,1983
419,Princess Diana,1983
420,Franklin C. Spinney,1983
421,John Paul II,1983
422,Lee Iacocca,1983
423,Ronald Reagan,1983
424,Claude Pepper,1983
425,Nastassja Kinski,1983
426,George Lucas,1983
427,Margaret Thatcher,1983
428,John Paul II,1983
429,David Bowie,1983
430,William P. Clark,1983
431,Jesse Jackson,1983
432,Ben Colli,1983
433,Peter Ueberroth,1983
434,Ronald Reagan,1983
435,John F. Kennedy,1983
436,George Orwell,1983
437,Hafez Assad,1983
438,Ronald Reagan,1984
439,John Paul II,1984
440,Arthur Rock,1984
441,Phil Mahre,1984
442,Ronald Reagan,1984
443,Yuri Andropov,1984
444,Konstantin Chernenko,1984
445,Martin Feldstein,1984
446,Gary Hart,1984
447,Michael Jackson,1984
448,Alexander Haig,1984
449,Bill Gates,1984
450,Jesse Jackson,1984
451,Shirley MacLaine,1984
452,Geraldine Ferraro,1984
453,Walter Mondale,1984
454,Andrei A. Gromyko,1984
455,Erma Bombeck,1984
456,Shimon Peres,1984
457,Geraldine Ferraro,1984
458,Carl Lewis,1984
459,Carl Lewis,1984
460,Ronald Reagan,1984
461,Geraldine Ferraro,1984
462,Brian Mulroney,1984
463,Andrei A. Gromyko,1984
464,Ronald Reagan,1984
465,Ronald Reagan,1984
466,Indira Gandhi,1984
467,Ronald Reagan,1984
468,William DeVries,1984
469,David Lean,1984
470,Peter Ueberroth,1985
471,Nancy Reagan,1985
472,Donald Regan,1985
473,John Paul II,1985
474,T. Boone Pickens,1985
475,Larry Bird,1985
476,Mikhail Gorbachev,1985
477,Lee Iacocca,1985
478,Bernhard Goetz,1985
479,Ronald Reagan,1985
480,Madonna,1985
481,Steven Spielberg,1985
482,Pete Rose,1985
483,Jerry Falwell,1985
484,Mikhail Gorbachev,1985
485,Philip Michael Thomas,1985
486,Deng Xiaoping,1985
487,Ronald Reagan,1985
488,Toxic Waste,1985
489,Ronald Reagan,1985
490,Garrison Keillor,1985
491,Prince Charles,1985
492,Ronald Reagan,1985
493,Ronald Reagan,1985
494,Teenage Pregnancy,1985
495,Deng Xiaoping,1986
496,Donald Burr,1986
497,William Perry,1986
498,Corazon Aquino,1986
499,Pat Robertson,1986
500,Corazon Aquino,1986
501,Michael Deaver,1986
502,Corazon Aquino,1986
503,Daniel Ortega,1986
504,Dwight Gooden,1986
505,Muammar Gaddafi,1986
506,Vladimir Horowitz,1986
507,Molly Ringwald,1986
508,Mario Cuomo,1986
509,William Rehnquist,1986
510,Ronald Reagan,1986
511,Sigourney Weaver,1986
512,Andrew Wyeth,1986
513,Ralph Lauren,1986
514,Derek Bok,1986
515,Laurence Tisch,1986
516,John Gotti,1986
517,Stephen King,1986
518,Ronald Reagan,1986
519,David Byrne,1986
520,Ivan Boesky,1986
521,Neil Simon,1986
522,Oliver North,1986
523,Corazon Aquino,1987
524,Adnan Khashoggi,1987
525,Oliver Stone,1987
526,Dennis Conner,1987
527,Bette Midler,1987
528,Ronald Reagan,1987
529,Howard Baker,1987
530,Jimmy Swaggart,1987
531,U2,1987
532,Gary Hart,1987
533,Alan Greenspan,1987
534,Chun Doo Hwan,1987
535,Oliver North,1987
536,Oliver North,1987
537,Mikhail Gorbachev,1987
538,Khomeini,1987
539,Steve Martin,1987
540,Robert Bork,1987
541,Bill Cosby,1987
542,Glenn Close,1987
543,Shirley Maclaine,1987
544,Mikhail Gorbachev,1987
545,Gary Hart,1987
546,Mikhail Gorbachev,1988
547,Andrew Lloyd Webber,1988
548,Dan Rather,1988
549,Debi Thomas,1988
550,Manuel Noriega,1988
551,George H.W. Bush,1988
552,Jesse Jackson,1988
553,Michael Eisner,1988
554,Michael Dukakis,1988
555,Nancy Reagan,1988
556,Raisa Gorbachev,1988
557,Ronald Reagan,1988
558,Mike Tyson,1988
559,Edward James Olmos,1988
560,Lloyd Bentsen,1988
561,George H.W. Bush,1988
562,George H.W. Bush,1988
563,Jackie Joyner-Kersee,1988
564,John Sasso,1988
565,Enrique Camarena,1988
566,George H.W. Bush,1988
567,Ross Johnson,1988
568,Ronald Reagan,1988
569,Yasser Arafat,1988
570,Earth,1989
571,Gene Hackman,1989
572,Donald Trump,1989
573,Barbara Bush,1989
574,George H.W. Bush,1989
575,James Baker,1989
576,Khomeini,1989
577,John Tower,1989
578,Eduard Shevardnadze,1989
579,Kevin Costner,1989
580,Pete Rose,1989
581,Joseph Hazelwood,1989
582,Diane Sawyer,1989
583,Joseph Cicippio,1989
584,George H.W. Bush,1989
585,The Rolling Stones,1989
586,George Washington,1989
587,1989 Loma Prieta earthquake,1989
588,Arsenio Hall,1989
589,The Berlin Wall,1989
590,George H.W. Bush,1989
591,Tom Cruise,1989
592,Mikhail Gorbachev,1990
593,Joe Foss,1990
594,Nelson Mandela,1990
595,Michael Milken,1990
596,Richard Nixon,1990
597,Dan Quayle,1990
598,Andrei Sakharov,1990
599,John H. Sununu,1990
600,Mikhail Gorbachev,1990
601,Scott Turow,1990
602,Nelson Mandela,1990
603,Helmut Kohl,1990
604,David Souter,1990
605,Saddam Hussein,1990
606,Saddam Hussein,1990
607,Saddam Hussein,1990
608,King Fahd,1990
609,David Lynch,1990
610,Wynton Marsalis,1990
611,Ronald Reagan,1990
612,Dick Cheney,1990
613,Margaret Thatcher,1990
614,Bart Simpson,1990
615,George H.W. Bush,1991
